Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,loan_officer_id
4000,2016-07-01,small_business,735,37.36,301xx,GA,5 years,4
25000,2016-07-01,debt_consolidation,736,5.25,655xx,MO,< 1 year,1
10000,2016-07-01,car,737,10.39,073xx,NJ,< 1 year,2
35000,2016-07-01,debt_consolidation,738,30.06,700xx,LA,5 years,3
15000,2016-07-01,major_purchase,739,11.37,640xx,MO,< 1 year,4
25000,2016-07-01,debt_consolidation,740,10.22,944xx,CA,< 1 year,1
5000,2016-07-01,debt_consolidation,741,17.58,956xx,CA,n/a,2
1000,2016-07-01,debt_consolidation,742,15.9,199xx,DE,< 1 year,3
12000,2016-07-01,debt_consolidation,743,31.79,334xx,FL,< 1 year,4
15000,2016-07-01,credit_card,744,12.39,089xx,NJ,5 years,1
10000,2016-07-01,other,745,5.18,770xx,TX,< 1 year,2
5000,2016-07-01,moving,746,30,121xx,NY,< 1 year,3
5500,2016-07-01,small_business,747,3.45,802xx,CO,< 1 year,4
